Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
ōlim,once upon a time,574,Adverb,,once upon a time,1
"omnis, omne",all; every,18,Adjective,,all ‖ every,1
"opprimō, opprimere, oppressī, oppressum",to crush,0,Verb,,to crush,1
"oppugnō, oppugnāre, oppugnāvī, oppugnātus",to attack,0,Verb,,to attack,1
"optimus, optima, optimum",best,68,Adjective,,best,1
"optiō, optiōnis, {f.}",choice,0,Noun,,choice,1
"opus, operis, {n.}",work,332,Noun,,work,1
"ōsculum, ōsculī, {n.}",kiss,0,Noun,,kiss,1
"pānis, pānis, {m.}",bread,0,Noun,,bread,1
"parēns, parentis, {m./f.}",parent,190,Noun,,parent,1
"parō, parāre, parāvī, parātum",to prepare,160,Verb,,to prepare,1
"pars, partis, {f.}",part,65,Noun,,part,1
"parvus, parva, parvum",small,143,Adjective,,small,1
"pater, patris, {m.}",father,71,Noun,,father,1
"patria, patriae, {f.}",native land,342,Noun,,native land,1
"patricius, patricia, patricium",patrician,0,Adjective,,patrician,1
paulum,a little,872,Adverb,,a little,1
"pauper, {(gen.)} pauperis",poor,844,"Adjective, Noun",,poor,1
"pāx, pācis, {f.}",peace,388,Noun,,peace,1
"pecūnia, pecūniae, {f.}",money,530,Noun,,money,1
